Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
Brandon Knight,2015,17773206.0,,,,,,,,
Brandon Knight,2016,,16432667.0,,,,,,,
Brandon Knight,2017,,,17467170.0,,,,,,
Brandon Knight,2018,,,,18241958.0,,,,,
Brandon Knight,2019,,,,,19188012.0,,,,
Brandon Knight,2021,,,,,,,317616.0,,
Brandon Miller,2023,,,,,,,,,11203662.0
Brandon Paul,2016,,202047.0,,,,,,,
Brandon Paul,2017,,,1046093.0,,,,,,
Brandon Rush,2015,1673267.0,,,,,,,,
Brandon Rush,2016,,4562366.0,,,,,,,
Brandon Rush,2017,,,153398.0,,,,,,
Brandon Sampson,2018,,,,96313.0,,,,,
Brandon Williams,2021,,,,,,,209065.0,,
Brandon Williams,2023,,,,,,,,,361087.0
Braxton Key,2021,,,,,,,147574.0,,
Braxton Key,2022,,,,,,,,213968.0,
Braxton Key,2023,,,,,,,,,576415.0
Brian Bowen,2019,,,,,97595.0,,,,
Brian Bowen,2020,,,,,,457400.0,,,
Brian Roberts,2015,3758625.0,,,,,,,,
Brian Roberts,2016,,1369962.0,,,,,,,
Briante Weber,2015,81326.0,,,,,,,,
Briante Weber,2016,,812683.0,,,,,,,
Briante Weber,2017,,,205697.0,,,,,,
Brice Johnson,2016,,1660597.0,,,,,,,
Brice Johnson,2017,,,1707322.0,,,,,,
Brice Sensabaugh,2023,,,,,,,,,2521357.0
Brodric Thomas,2020,,,,,,502346.0,,,
Brodric Thomas,2021,,,,,,,534959.0,,
Bronson Koenig,2017,,,64129.0,,,,,,
Brook Lopez,2015,25921234.0,,,,,,,,
Brook Lopez,2016,,27590163.0,,,,,,,
Brook Lopez,2017,,,29040682.0,,,,,,
Brook Lopez,2018,,,,4216612.0,,,,,
Brook Lopez,2019,,,,,14832830.0,,,,
Brook Lopez,2020,,,,,,15474547.0,,,
Brook Lopez,2021,,,,,,,15382110.0,,
Brook Lopez,2022,,,,,,,,14745399.0,
Brook Lopez,2023,,,,,,,,,25742849.0
Bruce Brown,2018,,,,1045380.0,,,,,
Bruce Brown,2019,,,,,1737855.0,,,,
Bruce Brown,2020,,,,,,2027733.0,,,
Bruce Brown,2021,,,,,,,5476579.0,,
Bruce Brown,2022,,,,,,,,6869606.0,
Bruce Brown,2023,,,,,,,,,22653707.0
Bruno Caboclo,2015,2006397.0,,,,,,,,
Bruno Caboclo,2016,,2072148.0,,,,,,,
Bruno Caboclo,2017,,,3143897.0,,,,,,
Bruno Caboclo,2018,,,,879430.0,,,,,
Bruno Caboclo,2019,,,,,2263374.0,,,,
Bruno Caboclo,2020,,,,,,2472230.0,,,
Bruno Fernando,2019,,,,,1717185.0,,,,
Bruno Fernando,2020,,,,,,1849950.0,,,
